country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB","03-06-2026 20:00:00",28.406963,77.849831,PM10,96,158,118
India,Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB","03-06-2026 20:00:00",28.406963,77.849831,OZONE,2,49,46
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB","03-06-2026 20:00:00",27.168897,78.376960,PM10,31,110,52
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB","03-06-2026 20:00:00",27.168897,78.376960,NO2,17,17,17
India,Telangana,Hyderabad,"IITH Kandi, Hyderabad - TSPCB","03-06-2026 20:00:00",17.585705,78.126199,NH3,4,5,5
India,Telangana,Hyderabad,"Kokapet, Hyderabad - TSPCB","03-06-2026 20:00:00",17.393559,78.339194,PM10,78,92,84
India,Telangana,Hyderabad,"Kompally Municipal Office, Hyderabad - TSPCB","03-06-2026 20:00:00",17.544899,78.486949,PM10,75,89,81
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB","03-06-2026 20:00:00",17.429398,78.569354,NH3,NA,NA,NA
India,Telangana,Hyderabad,"New Malakpet, Hyderabad - TSPCB","03-06-2026 20:00:00",17.37206,78.50864,NO2,12,18,14
India,Telangana,Hyderabad,"New Malakpet, Hyderabad - TSPCB","03-06-2026 20:00:00",17.37206,78.50864,NH3,2,3,2
India,Telangana,Hyderabad,"New Malakpet, Hyderabad - TSPCB","03-06-2026 20:00:00",17.37206,78.50864,CO,22,44,38
India,Telangana,Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB","03-06-2026 20:00:00",17.528544,78.286195,SO2,9,24,17
India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB","03-06-2026 20:00:00",17.417094,78.457437,NO2,13,17,14
India,Uttar_Pradesh,Agra,"Manoharpur, Agra - UPPCB","03-06-2026 20:00:00",27.23711,78.01936,OZONE,5,5,5
India,Uttar_Pradesh,Agra,"Rohta, Agra - UPPCB","03-06-2026 20:00:00",27.106972,78.000111,OZONE,10,11,10
India,Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB","03-06-2026 20:00:00",27.19865833,78.00598056,PM10,58,148,98
India,Rajasthan,Alwar,"Moti Doongri, Alwar - RSPCB","03-06-2026 20:00:00",27.554793,76.611536,OZONE,2,62,20
India,Rajasthan,Barmer,"Railway Colony, Barmer - RSPCB","03-06-2026 20:00:00",25.747299,71.393989,PM2.5,17,422,130
India,Rajasthan,Barmer,"Railway Colony, Barmer - RSPCB","03-06-2026 20:00:00",25.747299,71.393989,PM10,108,486,289
India,Rajasthan,Bharatpur,"Krishna Nagar, Bharatpur - RSPCB","03-06-2026 20:00:00",27.215415,77.50873,PM2.5,7,52,24
India,Rajasthan,Bharatpur,"Krishna Nagar, Bharatpur - RSPCB","03-06-2026 20:00:00",27.215415,77.50873,PM10,32,86,53
India,Rajasthan,Bhilwara,"Pratap Nagar, Bhilwara - RSPCB","03-06-2026 20:00:00",25.339605,74.618883,NH3,2,11,6
India,Rajasthan,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB","03-06-2026 20:00:00",28.194909,76.862296,NO2,15,61,37
India,Rajasthan,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB","03-06-2026 20:00:00",28.194909,76.862296,CO,26,63,32
India,Rajasthan,Bhiwadi,"Vasundhara Nagar_UIT, Bhiwadi - RSPCB","03-06-2026 20:00:00",28.207266,76.829265,PM10,56,425,165
India,Rajasthan,Bhiwadi,"Vasundhara Nagar_UIT, Bhiwadi - RSPCB","03-06-2026 20:00:00",28.207266,76.829265,NH3,5,20,10
India,Rajasthan,Chittorgarh,"Shastri Nagar, Chittorgarh - RSPCB","03-06-2026 20:00:00",24.892047,74.623527,PM10,NA,NA,NA
India,Rajasthan,Chittorgarh,"Shastri Nagar, Chittorgarh - RSPCB","03-06-2026 20:00:00",24.892047,74.623527,NO2,NA,NA,NA
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB","03-06-2026 20:00:00",25.164090,75.858137,NH3,8,14,10
India,Rajasthan,Kota,"Nayapura, Kota - RSPCB","03-06-2026 20:00:00",25.196024,75.855668,NH3,2,19,6
India,Rajasthan,Nagaur,"Karni Colony, Nagaur - RSPCB","03-06-2026 20:00:00",27.213494,73.734444,SO2,4,8,6
India,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB","03-06-2026 20:00:00",25.771061," 73.340227",NH3,1,3,1
India,Rajasthan,"Sawai Madhopur","Sahu Nagar, Sawai Madhopur - RSPCB","03-06-2026 20:00:00",26.031443,76.359327,SO2,6,10,8
India,Rajasthan,"Sawai Madhopur","Sahu Nagar, Sawai Madhopur - RSPCB","03-06-2026 20:00:00",26.031443,76.359327,CO,12,43,17
India,Rajasthan,"Sawai Madhopur","Sahu Nagar, Sawai Madhopur - RSPCB","03-06-2026 20:00:00",26.031443,76.359327,OZONE,26,160,94
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB","03-06-2026 20:00:00",27.608912,75.153302,PM10,78,224,131
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB","03-06-2026 20:00:00",27.608912,75.153302,SO2,1,7,3
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB","03-06-2026 20:00:00",27.608912,75.153302,CO,8,34,13
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB","03-06-2026 20:00:00",27.608912,75.153302,OZONE,8,109,95
India,Uttar_Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB","03-06-2026 20:00:00",28.646233,77.358075,PM10,120,196,152
India,Uttar_Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB","03-06-2026 20:00:00",28.646233,77.358075,NO2,30,61,44
India,Uttar_Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB","03-06-2026 20:00:00",28.646233,77.358075,SO2,15,20,18
India,Uttar_Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB","03-06-2026 20:00:00",28.646233,77.358075,OZONE,3,42,34
India,Uttar_Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB","03-06-2026 20:00:00",28.757294,77.278792,CO,62,103,74
India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB","03-06-2026 20:00:00",28.685382,77.453839,PM2.5,44,242,90
India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB","03-06-2026 20:00:00",28.685382,77.453839,NH3,11,65,18
India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB","03-06-2026 20:00:00",28.685382,77.453839,OZONE,8,131,108
India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB","03-06-2026 20:00:00",28.6603346,77.3572563,NH3,NA,NA,NA
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB","03-06-2026 20:00:00",26.730136,83.433859,NO2,11,12,11
India,Uttar_Pradesh,"Greater Noida","Knowledge Park - III, Greater Noida - UPPCB","03-06-2026 20:00:00",28.47272,77.482000,NO2,5,76,36
